en,vi
"The study was completed in May 2015 with 476 children aged 12 years at 9 secondary schools, applying the methodology of investigation and classification of WHO-2013 with the Dean's fluorosis index.",Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học cơ sở. Nghiên cứu theo phương pháp điều tra và phân loại của Tổ chức Y tế Thế giới (WHO) năm 2013 sử dụng chỉ số răng nhiễm fluor Dean.
Research results showed that: The rate of 12-year-old children with fluor contaminated teeth including the suspicion level was 13.2%.,"Kết quả nghiên cứu: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu tính cả mức độ nghi ngờ là 13,2%."
The rate of 12-year-old children with fluor contaminated teeth without suspicion level was 7.1%.,"Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7,1%."
"Mostly suspected and very mild, there was no case of severe fluor contaminated teeth. There was only one case of moderate fluor contaminated teeth.","Chủ yếu là mức độ nghi ngờ và rất nhẹ, không có trường hợp răng nhiễm fluor nặng, chỉ duy nhất một ca răng nhiễm fluor ở mức độ trung bình."
The Dean's index of community fluor contaminated teeth in 12-year-old children was 0.13. This was a community without fluor contaminated teeth according to the 2013 classification of the World Health Organization.,"Chỉ số răng nhiễm fluor trong cộng đồng theo chỉ số Dean ở trẻ 12 tuổi là 0,13 theo phân loại của Tổ chức Y tế Thế giới năm 2013 thuộc cộng đồng không bị nhiễm fluor răng."
To investigate the reasonableness of using proton pump inhibitors (PPI) at 120 Military Hospital in Tien Giang province.,Khảo sát tính hợp lý trong sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.
Unreasonable prescriptions in PPI used mainly gastritis.,Đơn thuốc chưa hợp lý trong sử dụng PPI chủ yếu là bệnh viêm dạ dày.
Results: Prescribing unsafe proton pump inhibitors accounted for 12.13%.,"Kết quả: Tỷ lệ chỉ định thuốc ức chế bơm proton chưa an toàn chiếm 12,13%."
Percentage of prescriptions without instructions for use of proton pump inhibitors (0.79%).,"Tỷ lệ đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton (0,79%)."
"The proportion of prescription drugs with drug interactions was 52.14%, clopidogrel was the most interactive drug commonly used with PPIs (48.3%).","Tỷ lệ đơn thuốc có tương tác thuốc là 52,14%, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất (48,3%)."
The proportion of proton pump inhibitors indicated unreasonable was 9.76%.,"Tỷ lệ có chỉ định thuốc ức chế bơm proton chưa hợp lý là: 9,76%."
The proportion of prescriptions with proton pump inhibitors for gastritis treatment accounted for 66.14% of the total number of prescriptions with proton pump inhibitors that were not reasonable.,"Tỷ lệ đơn thuốc có chỉ định thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66,14% so với tổng đơn thuốc có thuốc ức chế bơm proton chưa hợp lý."
Conclusion: The proportion of proton pump inhibitors was not safe and reasonable and the proportion of prescription drugs with no instructions on how long to use proton pump inhibitors were low.,"Kết luận: Tỷ lệ thuốc ức chế bơm proton chưa an toàn, chưa hợp lý, đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton chiếm tỷ lệ thấp."
"The proportion of prescription interacting drugs accounted for a high proportion, clopidogrel was the most interactive drug commonly used with PPIs.","Tỷ lệ đơn thuốc có tương tác chiếm tỷ lệ cao, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất."
"Evaluation of compliance with vancomycin therapy before and after the participation of clinical pharmacists at the department of intensive care medicine - anti toxicology, Nguyen Tri Phuong hospital","Đánh giá mức độ tuân thủ theo dõi trị liệu vancomycin trước và sau khi có sự tham gia của dược sĩ lâm sàng tại Khoa Hồi sức tích cực – Chống độc, Bệnh viện Nguyễn Tri Phương"
Primary spontaneous pneumothorax is a common disease in young people with a recurrence rate.,Tràn khí màng phổi tự phát tiên phát là bệnh lý thường xảy ra ở người trẻ với tỉ lệ tái phát nhất định.
"Currently, indications of video-assisted thoracoscopic surgery (VATS) in the routine treatment of primary spontaneous pneumothorax and it is recommended to perform early in the first episode of pneumothorax.","Hiện nay, chỉ định phẫu thuật nội soi lồng ngực trong điều trị tràn khí màng phổi tự phát tiên phát đã trở thành thường quy và khuyến cáo thực hiện sớm ngay với các trường hợp tràn khí lần đầu."
"Methods: Cross-sectional study; The research results were recorded in the following variables: age, sex; operative indications; operative time... The data were recorded in the research medical record for each patient and processed by the SPSS 20.0.","Phương pháp: Nghiên cứu cắt ngang; Kết quả nghiên cứu ghi nhận ở các biến số: Tuổi, giới tính; chỉ định phẫu thuật; thời gian mổ... Số liệu được ghi nhận vào mẫu bệnh án nghiên cứu cho từng bệnh nhân và xử lý bằng chương trình SPSS 20.0."
"Results: From January 2018 to April 2021 at Cardiovascular and Thoracic Center - Viet Duc University Hospital, 38 patients underwent video-assisted thoracoscopic surgery for primary spontaneous pneumothorax.",Kết quả: Từ tháng 01/2018 đến 04/2021 tại trung tâm Tim mạch và Lồng ngực – Bệnh viện hữu nghị Việt Đức có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát tiên phát.
"Indications of VATS: Recurrent preumothorax 44, 74%; Prolonged preumothorax 21, 05%; bullae 21, 05%; preumothorax-hemothorax 10, 52%; bilateral spontaneous pneumothorax 2, 63%.","Chỉ định phẫu thuật bao gồm: Tràn khí tái phát 44,74%; Rò khí kéo dài 21,05%; Kén khí lớn 21,05%; Tràn khí - tràn máu màng phổi 10,52%; Tràn khí 2 bên cùng lúc 2,63%."
"Follow-up from 1 month to 24 months, no cases of recurrence.","Theo dõi từ 1 tháng đến 24 tháng, không có trường hợp nào tái phát."
"By means of direct interviews with 156 primary caregivers for stroke patients who were treated at the hospital and are currently living in Ha Dong district in Hanoi, on rehabilitation care knowledge for patients at home, findings reveal: Percentage of primary carer full knowledge of the content of each patient care was limited: only 2 out of 8 contents reaching over 50%, which are eating care (70.6%) and occlusion preventive care (55.8%).","Bằng phương pháp phỏng vấn trực tiếp 156 người chăm sóc chính cho người bệnh tai biến mạch máu não đã được điều trị tại bệnh viện, hiện đang sinh sống tại quận Hà Đông, thành phố Hà Nội về kiến thức chăm sóc phục hồi chức năng cho người bệnh tại nhà, cho thấy kết quả như sau: Tỷ lệ người chăm sóc chính đạt kiến thức đầy đủ về từng nội dung chăm sóc người bệnh còn rất hạn chế: chỉ có 2/8 nội dung có tỷ lệ đạt trên 50%, đó là chăm sóc ăn uống (70,6%), chăm sóc phòng ngừa tắc mạch (55,8%)."
"The remaining content ratio care primary caregivers full knowledge was low: skin care (46.2%), urinary tract care, bladder (46.2%), constipation preventive care (13.5%), respiratory care (30.8%), standing care (46.9%), care practice, athletes (34.6%).","Đối với các nội dung chăm sóc còn lại, tỷ lệ người chăm sóc chính đạt kiến thức đầy đủ thấp: chăm sóc da (46,2%), chăm sóc đường tiểu, bàng quang (46,2%), chăm sóc phòng ngừa táo bón (13,5%), chăm sóc hô hấp (30,8%), chăm sóc tư thế đứng (46,9%), chăm sóc luyện tập, vận động (34,6%)."
Percentage of primary care-givers pass all 8 contents of rehabilitation care at home for patients with stroke accounted for only 25.0%.,"Tỷ lệ người chăm sóc chính đạt yêu cầu cả 8 nội dung chăm sóc phục hồi chức năng tại nhà cho người bệnh tai biến mạch máu não chỉ chiếm 25,0%."
Deep anterior lamellar keratoplasty to treat corneal perforation and descemetocele from microbial keratitis,Ghép giác mạc lớp trước sâu điều trị viêm loét giác mạc nhiễm trùng
"TAFRO syndrome was first reported in 2010 in Japan. It is characterized by a constellation of symptoms: Thrombocytopenia, Anasarca, reticulin Fibrosis of the bone marrow, Renal dysfunction and Organomegaly (TAFRO).","Hội chứng TAFRO được báo cáo đầu tiên năm 2010 tại Nhật Bản, đăc trưng bởi giảm tiểu cầu, tràn dịch đa màng, xơ hoá tuỷ xương có reticulin, rối loạn chức năng thận, phì đại cơ quan."
"TAFRO syndrome often occurs in the middle-aged and the elderly, and is rarely seen in adolescents.","Bệnh thường gặp ở người già hoặc trung niên, rất hiếm gặp ở thanh thiếu niên."
"Here we report the first child case diagnosed with TAFRO syndrome, and successfully treated with Cyclosporin A in the national children hospital.",Chúng tôi báo cáo một ca bệnh ở trẻ nhỏ đầu tiên được chẩn đoán hội chứng TAFRO và điều trị thành công bằng Cyclospron A tại bệnh viện Nhi Trung ương.
"He was diagnosed with TAFRO syndrome, treated by prednisone 1mg / kg / day combined with cyclosporin A 4mg / kg / day for 2 weeks. Improvement seen with no fever, no edema, increased platelets, and improved kidney function.","Trẻ được chẩn đoán hội chứng TAFRO, và điều trị prednisone 1 mg / kg / ngày phối hợp cyclosporinA 4 mg / kg / ngày được 2 tuần, trẻ hết sốt, hết phù, tiểu cầu máu tăng, chức năng thận cải thiện"
C-met expression in gastric adenocarcinoma,Sự biểu lộ của C-met trong ung thư biểu mô tuyến dạ dày vùng hang vị
"To describe clinical characteristics of periodontitis patients at Thanh Nhan Hospital, Hanoi.","Mô tả đặc điểm lâm sàng và tình trạng bệnh viêm quanh răng của bệnh nhân đến khám Bệnh viện Thanh Nhàn, Hà Nội."
"Results and conclusion: Periodontal pocket depth (PPD) was 3, 25 ± 1, 36 mm.","Kết quả và kết luận: Độ sâu trung bình túi quanh răng của bệnh nhân là 3,25 ± 1,36 mm."
Periodontal pocket depth (PPD) and clinical attachment loss (CAL) were the same at upper and lower teeth and increased by age.,Độ sâu trung bình túi quanh răng và mức độ mất bám dính tương đương ở 2 hàm và tăng dần theo tuổi.
Gingival index (GI) score and Oral Hygiene Index-Simplified (OHI-S) increased by age and the mean probing pocket depth (PPD).,Chỉ số lợi GI và chỉ số vệ sinh răng miệng OHI-S tăng dần theo nhóm tuổi và độ sâu trung bình túi quanh răng.
"The total polyphenol contents (mean values, mg GAE g-1 dried weight, in brackets) performed a descending order of white (206.62) ~ green (201.33) > red (167.42) > oolong (139.18) teas due to the variation in the oxidation levels during the fermentation, particularly for red and oolong teas.","Hàm lượng polyphenol tổng (giá trị trung bình tính bằng mg GAE g– 1 khối lượng khô trong dấu ngoặc đơn) thể hiện xu hướng giảm dần giữa các mẫu trà, cụ thể trà trắng (206.62) ~ trà xanh (201.33) > trà đỏ (167.42) > trà oolong (139.18) do sự khác biệt về mức độ oxy hoá trong quá trình lên men, đặc biệt đối với trà đỏ và oolong."
"Higher polyphenol contents released in tea infusions were observed regarding the increasing brewing temperature, except for oolong tea with its specific fluctuation, maybe due to its ""wrap-curled"" structure, leading to longer brewing durations for polyphenol to be extracted stably and completely.","Hàm lượng polyphenol phóng thích vào nước trà thể hiện xu hướng chung tăng dần khi tăng nhiệt độ pha trà, ngoại trừ mẫu trà oolong có xu hướng riêng, có thể do cấu trúc “cuộn xoắn ” của loại trà này, dẫn đến thời gian ngâm trà cần phải dài hơn để polyphenol có thể được phóng thích ổn định và hoàn toàn."
Factors affecting the working motivation of health workers at the Ho Chi Minh City 115 Emergency Center in 2020,Động lực làm việc của cán bộ y tế và một số yếu tố ảnh hưởng tại Trung tâm cấp cứu 115 Thanh phố Hồ Chí Minh năm 2020
The mean SRS-22 score increased significantly from 9.2 ± 1.4 preoperative to 22.8 ± 1.7 at the 3 month postoperative moment.,"Điểm SRS-22 cũng cải thiện nhiều từ 9,2 ± 1,4 ở thời điểm trước phẫu thuật tăng lên 22,8 ± 1,7 ở thời điểm sau mổ 3 tháng."
"Conclusion: Corrective osteotomy is an effective method for treating a fixed kyphotic deformity occurring in ankylosing spondylitis, resulting in satisfactory outcomes with acceptable complications.","Kết luận: Phẫu thuật cắt chêm xương thân đốt sống thắt lưng để nắn chỉnh biến dạng gù cứng ở bệnh nhân bị VCSDK là phương pháp nắn chỉnh hiệu quả và an toàn, mang đến sự cải thiện chất lượng sống cho người bệnh."
"Results: A total of 91 corrective osteotomies were performed in 69 patients with a mean follow-up of 30.1 months (range, 3 to 68 months).","Kết quả: Qua thời gian theo dõi trung bình 30,1 tháng (từ 3 đến 68 tháng)."
"The mean ODI preoperative score was 50 ± 15%, (range, 31.7% to 88.3%) and postoperative ODI was 22.5 ± 6% (range, 16.7% to 46.6%).","Điểm Oswestry trung bình cải thiện có ý nghĩa từ 50 ± 15% (từ 31,7% đến 88,3%) trước phẫu thuật giảm về còn 22,5 ± 6% (từ 16,7% đến 46,6%) sau phẫu thuật."
"Conclusion: We recorded 2 cases of myocarditis after vaccination with the Pfize-COVID-19 vaccine, occurring in the second bolus.","Kết luận: Chúng tôi ghi nhận 2 ca viêm cơ tim sau tiêm vacxin Pfizer phòng Covid-19, xảy ra ở mũi tiêm thứ 2."
The ECG of the 17-year-old patient clearly shows pericarditis: isotropic ST elevation in the precordial leads.,Điện tâm đồ bệnh nhân 17 tuổi thể hiện rõ tình trạng viêm màng tim: ST chênh đồng hướng ở các chuyển đạo trước tim.
Both patients had elevated hs-cTnI: 9686.56 pg / ml and 2069.94pg/ml.,"Cả 2 bệnh nhân đều có có men tim Troponin I tăng cao 9686,56 pg / ml và 2069,94 pg / ml."
"No shreds of evidence of damage in echocardiogram: LV function is normal, no pericardial fluid.","Chưa thấy hình ảnh tổn thương trên siêu âm tim: Chức năng thất trái bình thường, không có dịch màng ngoài tim."
"The patients have treated: Anti-inflammatory with Aspirin 800mg per day, Analgesic: Ibuprofen 200mg - 400mg per day.","Các bệnh nhân được điều trị: Chống viêm bằng Aspirin 800 mg / ngày, giảm đau: Ibuprofen 200 – 400 mg / ngày."
"The hospital discharge times of 02 cases were different: Patient with higher hs-cTnI and ECG changes had a treatment time of 14 days longer than patient without EKG changes, with a lower elevation of hs-cTnI.","Thời gian ra viện của 2 ca là khác nhau: Bệnh nhân có men tim tăng cao, biến đổi điện tâm đồ có thời gian điều trị là 14 ngày dài hơn bệnh nhân không có biến đổi điện tâm đồ, men tim tăng ít."
"Both patients were discharged from the hospital without any abnormal cardiac sequelae: hs-cTpI lower than the threshold value, ECG bounds back to normal. Echocardiogram is normal.","Cả 2 bệnh nhân ra viện không để lại di chứng bất thường trên tim: Troponin I giảm xuống ngưỡng theo dõi, điện tâm đồ trở về giới hạn bình thường, siêu âm tim không có biến đổi bất thường."
"Some factors such as gender, job title and working position are related to the compliance with the procedure of removing personal protective equipment of medical staff taking care of patients with COVID - 19 (p<0.05).","Một số yếu tố như giới tính, chức danh và vị trí làm việc có mối liên quan đến tuân thủ quy trình tháo bỏ phương tiện phòng hộ cá nhân của nhân viên y tế chăm sóc người bệnh COVID - 19 (p < 0,05)."
Conclusion: The compliance rate of medical staff with the process of removing personal protective equipment in the care for COVID - 19 patients at Duc Giang General Hospital is quite high.,Kết luận: Tỷ lệ tuân thủ quy trình tháo bỏ phương tiện phòng hộ cá nhân của nhân viên y tế trong chăm sóc người bệnh COVID - 19 tại Bệnh viện đa khoa Đức Giang ở mức khá cao.
"The hospital continues to maintain monitoring and evaluation in order to improve the compliance rate with the removal of personal protective equipment, thereby contributing to preventing the spread of COVID - 19.","Bệnh viện tiếp tục duy trì việc giám sát, đánh giá nhằm nâng cao tỷ lệ tuân thủ quy trình tháo bỏ phương tiện phòng hộ cá nhân, qua đó góp phần ngăn chặn lây nhiễm dịch bệnh COVID - 19."
"Subjects and research methods: A prospective, cross-sectional study was performed on patients diagnosed with polymyositis and dermatomyositis according to Bohan and Peter's criteria in 1975.","Đối tượng và phương pháp nghiên cứu nghiên cứu tiến cứu mô tả cắt ngang được thực hiện trên những bệnh nhân được chẩn đoán viêm đa cơ, viêm da cơ theo tiêu chuẩn Bohan và Peter năm 1975."
"The patients were examined for clinical examination, hematology, biochemistry, pathology, femoral magnetic resonance, and electromyography.","Các bệnh nhân được tiến hành thăm khám lâm sàng, các thăm dò về huyết học, sinh hoá, giải phẫu bệnh, cộng hưởng từ cơ đùi và điện cơ."
"2) Characteristics of subclinical lesions: muscle edema is the primary lesion detected on MRI images of the thigh muscle at 65.6%, the late stage has muscle atrophy at 15.6%, and fat degeneration at 9.4%.","2) Đặc điểm tổn thương cận lâm sàng: phù cơ là tổn thương chủ yếu được phát hiện trên hình ảnh MRI cơ đùi 65,6%, giai đoạn muộn có tổn thương teo cơ 15,6% và thoái hoá mỡ 9,4%."
"Regarding muscle histopathology, the most common injury characteristics are inflammatory cell invasion, degeneration, regeneration, and proliferation, with 62.5%, 81.3%, 68.8%, and 78.1%, respectively.","Về mô bệnh học, các đặc điểm tổn thương thường thấy là xâm nhiễm tế bào viêm, thoái hoá, tái tạo và tăng sinh với tỉ lệ tương ứng là 62,5%, 81,3%, 68,8%, 78,1%."
The rate of detection of muscle damage on MRI images of the thigh muscle correlates with increased CK concentration.,Tỉ lệ phát hiện tổn thương cơ trên hình ảnh MRI cơ đùi có mối tương quan với tăng nồng độ creatinine kinase (CK).
"During the hospital stay, there were 7 (22.6%) cases of re-opening of the ducts requiring PDA closure, the mean time of PDA reopening was 14 days postnatal age, the incompletely PDA closure, and female gender were two factors that increase the rate of PDA reopening.","Trong thời gian nằm viện, có 7 (22,6%) trường hợp tái mở ống động mạch cần can thiệp đóng PDA, thời điểm xuất hiện tái mở PDA trung bình 14 ngày tuổi, đóng PDA không hoàn toàn và giới nữ là 2 yếu tố làm tăng tỷ lệ tái mở PDA."
Conclusions: The ductus arteriosus reopened in at least 22.6% of infants after successful PDA prophylaxis with intravenous paracetamol.,"Kết luận: Tái mở PDA xảy ra ở ít nhất 22,6% trẻ sau dự phòng PDA thành công bằng paracetamol tĩnh mạch."
"Therefore, PDA should be monitored by clinical assessment and cardiac ultrasound for early detection of symptomatic PDA requiring intervention, especially during the first 2 weeks of postnatal age in incompletely PDA closure patients.","Vì vậy, cần có chiến lược theo dõi về lâm sàng và siêu âm tim để phát hiện và can thiệp đóng PDA kịp thời, nhất là trong 2 tuần đầu sau sinh ở những bệnh nhân đóng PDA không hoàn toàn sau dự phòng."
It is necessary to have early intervention measures to prevent the progression and limit the complications of varicose veins of the lower extremities for nursing students with early signs of varicose veins of the lower extremities and ensure health and safety and improve the quality of life for nursing students and medical staffs in the future.,"Cần có những biện pháp can thiệp sớm cho sinh viên Điều dưỡng có dấu hiệu sớm của suy giãn tĩnh mạch chi dưới nhằm ngăn chặn tiến triển, hạn chế biến chứng suy giãn tĩnh mạch chi dưới và đảm bảo an toàn sức khoẻ, nâng cao chất lượng cuộc sống cho sinh viên điều dưỡng, nhân viên y tế trong tương lai."
"A descriptive cross-sectional study on 341 nursing students was conducted in the 2nd, 3rd, and 4th years at the Faculty of Nursing - Medical Technology, University of Medicine and Pharmacy at Ho Chi Minh City during the period of time from March, 2021 to August, 2021 "".","Nghiên cứu cắt ngang mô tả trên 341 sinh viên Điều dưỡng đang học năm thứ 2, năm thứ 3 và năm thứ 4 tại Khoa Điều Dưỡng – Kỹ Thuật Y Học, Đại học Y Dược Thành phố Hồ Chí Minh trong thời gian từ tháng 03 năm 2021 đến tháng 08 năm 2021."
The percentage of nursing students with early signs of varicose veins of the lower extremities was 26.7%.,"Tỷ lệ sinh viên Điều dưỡng có dấu hiệu sớm của suy giãn tĩnh mạch chi dưới là 26,7%."
"Most students report that early signs of varicose veins of the lower extremities are leg fatigue and microvascular swelling under the skin, calf pain, cramps (nocturnal cramps), stinging and itching sensations.","Phần lớn sinh viên báo cáo rằng dấu hiệu sớm của suy giãn tĩnh mạch chi dưới là mỏi chân và nổi mạch máu nhỏ li ti dưới da, đau bắp chân, vọp bẻ (chuột rút về đêm), cảm giác châm chích và ngứa."
"Patients who came to the examination rooms of the Out-Patient Examination Department of Nhat Tan hospital with hypertension that the doctor thought about the white coat effect during 8 months from October 1, 2020 to May 31, 2021.","Đối tượng nghiên cứu: Bệnh nhân đến khám tại các buồng khám thuộc Khoa Khám bệnh của bệnh viện Nhật Tân thành phố Châu Đốc, trong 8 tháng từ 1/10/2020 cho đến 31/5/2021, có tăng huyết áp mà bác sĩ khám nghĩ đến hiệu ứng áo choàng trắng."
"Conclusion: Our study shows that OPB30 reduces the effect of White Coat Effect about 20.2% of cases with identified office hypertension. Thereby, treating hypertensive patients and monitoring White Coat Effect patients will be more effective as well as reducing costs and side effects for them.","Kết luận: Nghiên cứu cho thấy phương pháp đo huyết áp lưu động 30 phút giúp phát hiện và giảm hiệu ứng tăng huyết áp áo choàng trắng khoảng 20,2% trong số được chẩn đoán tăng huyết áp tại buồng khám, qua đó giúp chẩn đoán người bệnh tăng huyết áp thực sự sau khi loại trừ tăng huyết áp áo choàng trắng, góp phần giảm chi phí, tác dụng phụ và góp phần tăng hiệu quả chữa trị cho người bệnh tăng huyết áp."
The number of patients with OBP30 measured was 163 including records with at least 8 readings.,Số bản ghi kết quả đo huyết áp lưu động ít nhất 8 lần trong 30 phút là 163.
"Results: A total of 163 patients were recorded with full OBP30, of which 93 were female, accounting for 57%. Age 14 to 86.","Kết quả: Tổng số có 163 người được ghi huyết áp lưu động 30 phút đầy đủ, trong đó nữ 93, chiếm 57%; tuổi từ 14 đến 86, trung bình là 48,7 ± 14,5."
"When measuring OBP and someone showing signs of hypertension, the doctor thought that 107 people should be treated (65.6%).","Kết quả đo huyết áp tại buồng khám cho thấy: Bác sĩ chẩn đoán có 107 người mắc tăng huyết áp (65,6%)."
"After getting the results of OBP30, the doctor only prescribed antihypertensive treatment for 74 people (45.4%), reduced 33 people, and the rate of reduction in hypertension treatment was 20.2%.","Tuy nhiên sau khi có kết quả đo huyết áp lưu động 30 phút, số bệnh nhân thực sự cần điều trị tăng huyết áp chỉ còn 74 người (45,4%), giảm 33 người (20,2%)."
Barriers to treatment compliance in children with HIV/AIDS and some related factors at the Vietnam national children’s hospital,Những rào cản tuân thủ điều trị ở trẻ nhiễm HIV/AIDS và một số yếu tố liên quan tại Bệnh viện Nhi Trung ương
"In Vietnam, according to a report from the research results ""Burden of Disease and Injury"" under the VINE project (2011), mental health problems account for 18% of the total burden of disease.","Ở Việt Nam, theo báo cáo từ kết quả nghiên cứu “Gánh nặng bệnh tật và chấn thương ” thuộc dự án VINE (2011) cho thấy các vấn đề về sức khoẻ tâm thần chiếm 18% trong tổng gánh nặng bệnh tật."
The General Report of Vietnam's Health Sector in 2014 indicates that mental disorders are one of the five groups of diseases that account for a large proportion of the total disease burden caused by non-communicable diseases.,Báo cáo chung tổng quan ngành Y tế Việt Nam năm 2014 chỉ ra rằng rối loạn tâm thần là một trong năm nhóm bệnh chiếm tỷ trọng lớn trong tổng gánh nặng bệnh tật do các bệnh không lây gây ra.
"The objective of the study was to determine the prevalence of anxiety, stress and depression and the factors related to the rate of anxiety, stress and depression among health workers working at the examination department of the Hanoi Obstetrics and Gynecology Hospital.","Mục tiêu của nghiên cứu là xác định tỷ lệ lo âu, stress và trầm cảm và các yếu tố liên quan đến tỷ lệ lo âu, stress, trầm cảm của NVYT làm việc tại khoa khám bệnh bệnh viện Phụ sản Hà Nội."
The rate of depression is related to: gender and education level (p<0.05).,"Tỷ lệ trầm cảm có liên quan đến: giới tính và trình độ học vấn (p < 0,05)."
Prevalence of pulmonary hemorrhage in very preterm neonates at children’s hospital 1,Tỷ lệ xuất huyết phổi ở trẻ non tháng dưới 32 tuần tại Bệnh viện Nhi Đồng 1
