en,vi
"In clinical practice, we recorded some difficult cases of blood group determination.","Trong thực hành lâm sàng, chúng tôi đã gặp một số ca bệnh khó xác định nhóm máu."
"In the following case, we used many supporting techniques such as antibody adsorption in cold temperature and pedigree analysis in order to determine ABO blood group.","Trường hợp dưới đây, để xác định nhóm máu hệ ABO chúng tôi đã sử dụng nhiều kỹ thuật hỗ trợ như hấp phụ kháng thể ở nhiệt độ lạnh kết hợp phân tích phả hệ."
Pulmonary embolism is a fierce emergency and requires early and accurate management.,"Thuyên tắc động mạch phổi do huyết khối là một cấp cứu nặng, đòi hỏi phải xử trí nhanh chóng và chính xác."
The study used direct interviews to collect data.,Nghiên cứu sử dụng bộ câu hỏi phỏng vấn trực tiếp để thu thập số liệu.
"The most common lesions are: frosted glass (91.5%), solidified (22.6%), interstitial thickening (14.2%).","Hình thái tổn thương chủ yếu thường gặp là: kính mờ (91,5%), đông đặc (22,6%), dày kẽ (14,2%)."
"Method: A cross-sectional descriptive study, combining retrospective and prospective.","Phương pháp: Nghiên cứu mô tả cắt ngang, kết hợp hồi cứu và tiến cứu."
Endoscopic surgery was used as additional technique.,Nội soi được sử dụng hỗ trợ khi cần thiết.
"Total tumor removal reached 41, 2%.","Lấy toàn bộ u đạt 41,2%."
"Conclusion: There is a strong and positive correlation between stress, anxiety and depression.","Kết luận: Có mối tương quan thuận và mạnh giữa căng thẳng, lo âu và trầm cảm."
"Statistical analysis by T-test, ANOVA, Mann-Whitney, Kruskal-Wallis, Pearson.","Thống kê phân tích bằng phép kiểm T – test, ANOVA, Mann – Whitney, Kruskal – Wallis, Pearson."
Conclusions: This study revealed the feasibility in a novel approach to estimate MSM population size in light of the development of social network and mobile application.,HCM là 74.261 với khoảng tin cậy 95% dao động từ 50.810 – 137.914 Kết luận: Nghiên cứu này cho thấy tính khả thi trong cách tiếp cận mới ước tính kích cỡ quần thể MSM trong bối cảnh sự phát triển về kết nối và ứng dụng trên điện thoại thông minh.
This study provides valuable information on MSM population sizes in HCMC which is very helpful in program planning and resource allocation.,Nghiên cứu này cung cấp thông tin có giá trị về quy mô quần thể MSM tại TP. HCM giúp cho việc lập kế hoạch can thiệp và phân bổ nguồn lực hiệu quả.
Methods: This study used the social app multiplier method to estimate the size of MSM populations in HCMC.,Đối tượng và phương pháp nghiên cứu: Nghiên cứu sử dụng phương pháp số nhân ứng dụng xã hội trực tuyến để ước tính quy mô dân số MSM tại TP.HCM.
The count of users on a popular social app among MSM in HCMC was used as the first data source.,Chúng tôi sử dụng số lượng người dùng trên một ứng dụng xã hội phổ biến với MSM ở TP.HCM
"Results: Compared to the senior doctors' group, the junior doctors' group assessed that image evaluation was more difficult (52.1% of images were considered hard to evaluate compared to 25.8% in the expert group).","Kết quả: Nhóm bác sĩ mới đánh giá việc nhận định ảnh khó hơn so với nhóm bác sĩ có kinh nghiệm (52,1% ảnh được nhận định là khó so với 25,8% ở nhóm bác sĩ có kinh nghiệm)."
"In Vietnam, there have been preliminary results in the application of artificial intelligence (AI) in endoscopy.","Tại Việt Nam, đã có những kết quả bước đầu trong ứng dụng trí tuệ nhân tạo trong nội soi."
The doctors were informed that there were simulated images generated by an AI algorithm in the image set and were asked to determine which images were IEE or AI-simulated images.,"Các bác sĩ được cho biết là trong bộ ảnh có ảnh giả lập được sinh từ thuật toán AI và được yêu cầu xác định ảnh nào là ảnh ánh sáng tăng cường thật sự, ảnh nào là ảnh giả lập AI."
Method: this is a cross-sectional study.,Phương pháp nghiên cứu: mô tả cắt ngang tiến cứu.
Method: The subjects of the study were patients with hypertension over 40 years old who were outpatient treatment at Nam Dinh General Hospital.,Đối tượng và phương pháp nghiên cứu: Đối tượng nghiên cứu là những người bệnh tăng huyết áp trên 40 tuổi điều trị ngoại trú tại Bệnh viện Đa khoa tỉnh Nam Định.
Result: 32 causes of ineffective activities were identified in two screening procedures.,Xác định và đề xuất giải pháp cho 32 nguyên nhân gây ra các hoạt động không hiệu quả trong 2 quy trình khảo sát.
The goal of improving survey process timing and patient satisfaction is 20%.,Mục tiêu cải thiện thời gian của hai quy trinh khảo sát và sự hài lòng người bệnh là 20%.
Conclusion: Miniscrews are effective in whole arch distalization.,Kết luận: Mini vít được sử dụng hiệu quả để di xa toàn bộ hàm trên và hàm dưới.
"The most obvious clinical signs of total dentition distalization are incisor retraction and molar distal movement, statistically significant difference proved.","Sự kéo lùi răng cửa và di xa răng hàm lớn thứ nhất, được chứng minh khác biệt có ý nghĩa thống kê ở phần lớn các nghiên cứu."
"Other movement such as tipping, extrusion, intrusion of incisors and molars, rotation of occlusion plane, lips retraction are somewhat showed in the results but not many articles have statistically significant difference.","Các di chuyển nghiêng, lún hoặc trồi của các răng trên cung hàm, hướng xoay của mặt phẳng cắn cũng như mức độ cải thiện mô mềm khi di xa thể hiện một xu hướng chung ở tất cả các nghiên cứu nhưng ít nghiên cứu có sự khác biệt có ý nghĩa thống kê."
Materials and methods: Systematic review.,Đối tượng và phương pháp nghiên cứu: Tổng quan hệ thống.
No patient was required re-operation.,Không có trường hợp nào cần phẫu thuật lại.
The ECG was high valuable to predict the occlusion site of coronary artery in STEMI.,Kết luận: ECG có giá trị cao trong dự đoán vị trí tắc nhánh ĐMV trong NMCTc ST chênh lên.
Method: The study subjects include 75 women who have children aged 6 - 24 months of treatment for ARIs at Nam Dinh Children's Hospital.,Đối tượng và phương pháp nghiên cứu: Đối tượng nghiên cứu gồm 75 bà mẹ có con từ 6-24 tháng tuổi điều trị nhiễm khuẩn hô hấp cấp tính tại bệnh viện Nhi tỉnh Nam Định.
"There are still 42, 7% of mothers who have not enough knowledge.","Vẫn còn 42,7% bà mẹ có kiến thức chưa đạt."
The average follow-up time: 11.6 ± 6.4 months.,"Thời gian theo dõi trung bình 11,6 ± 6,4 tháng."
"For each question, the patient chose one of two options ""Yes"" or ""No"", depending on whether the patient had the need or not and if the need was met or not.",Với mỗi nội dung câu hỏi người bệnh sẽ lựa chọn 1 trong 2 phương án “Có ” hoặc“ Không ” tuỳ thuộc vào việc người bệnh có hay không có nhu cầu; có được đáp ứng hay không được đáp ứng.
"Conclusion: Cancer patients have different needs, the highest need is for disease diagnosis (82, 9%); the lowest is the need to participate in activities to reduce feelings of depression (62, 3%).","Kết luận: Người bệnh ung thư có nhu cầu khác nhau theo từng nhóm nhu cầu, cao nhất là nhu cầu về chẩn đoán bệnh (82,9%); thấp nhất là nhu cầu tham gia các hoạt động giúp giảm cảm giác phiền muộn (62,3%)."
"Meeting the needs is highest for needs of disease diagnosis (84, 3%) and lowest for personal hygiene care (60, 3%).","Đáp ứng nhu cầu cao nhất về chẩn đoán bệnh là 84,3%; thấp nhất về chăm sóc vệ sinh cá nhân là 60,3%."
"Etiologies are included: Lumbar disc herniation, lumbar spinal stenosis, tumor, facet cyst, spondylodiscitis, Sacral iliac joint pain, epidural hematoma.","Một số bệnh lý vùng lưng được ghi nhận như sau: thoát vị đĩa đệm, hẹp ống sống, nang bao hoạt dịch ngoài màng cứng, u thân đốt sống, viêm mủ thân sống đĩa đệm, đau khớp cùng chậu, máu tụ ngoài màng cứng tuỷ."
Result of pulling impacted teeth into occlusion with support of CBCT films,Kết quả điều trị kéo răng ngầm với sự hỗ trợ của phim CBCT
The study was carried out to find out factors affecting the choice of using medical services at public and private health facilities in the Northern Midlands and Mountainous region.,Nghiên cứu được thực hiện nhằm tìm ra các yếu tố ảnh hưởng đến việc lựa chọn sử dụng dịch vụ y tế (DVYT) tại các cơ sở y tế công và tư nhân ở vùng Trung du miền núi phía Bắc (TDMNPB).
"Community based Fieldwork is a compulsory subject at Hanoi Medical University, held for 1 - 2 weeks locally.","Môn học Thực hành cộng đồng là môn học bắt buộc tại Trường Đại học Y Hà Nội, được tổ chức trong 1-2 tuần tại địa phương."
"The research results show that the student feedback on the fieldwork is very positive, with the lowest cost clearly informed score of 3.09 and the highest part-time faculty support score of 3.49.","Kết quả nghiên cứu cho thấy phản hồi của sinh viên về quá trình học thực địa rất tích cực, với điểm thông báo rõ ràng về chi phí thấp nhất là 3,09 và điểm hỗ trợ của giảng viên kiêm nhiệm cao nhất là 3,49."
"Regarding the field study program, students highly appreciated the content, methods of organization and teaching and communication of health education, the value in career development, (GPA from 3.11 to 3, 26).","Về chương trình học thực địa, sinh viên đánh giá rất cao nội dung, phương pháp tổ chức và giảng dạy và truyền thông giáo dục sức khoẻ, giá trị trong phát triển nghề nghiệp (điểm trung bình từ 3,11 – 3,26)."
"There is a correlation between student's grade and good feedback on fieldwork (OR = 0.58, 95% CI = 0.32 - 0.97).","Có mối liên quan giữa khối của sinh viên và phản hồi tốt về quá trình học thực địa (OR = 0,58, 95% CI = 0,32 - 0,97)."
Definitive diagnosis was Pheochromocytoma.,Chẩn đoán xác định của 2 bệnh nhân là u tuỷ thượng thận.
"Materials and methods: Retrospective prescriptions of outpatient at the Pharmacy Departmen of the 108 military central Hospital, using cross-sectional descriptive methods.","Đối tượng và phương pháp nghiên cứu: Đơn thuốc điều trị ngoại trú được chẩn đoán bệnh tăng huyết áp lưu tại khoa Dược bệnh viện TWQĐ 108, phương pháp nghiên cứu mô tả cắt ngang."
Conclusion: Most of the prescription in our study was polytherapy.,Kết luận: Phần lớn các đơn thuốc trong mẫu nghiên cứu áp dụng kê đơn đa trị liệu.
A case study report was applied.,Thiết kế nghiên cứu mô tả ca bệnh.
Most of them were cost-utility analysis with the primary outcome measurement of Quality-adjusted life year (QALY) and employing a societal perspective.,nhiều nhất là các phân tích chi phí – thoả dụng với đầu ra đo lường phổ biến là số năm sống hiệu chỉnh theo chất lượng cuộc sống (QALY) và góc độ đánh giá toàn xã hội.
The practice of validating model structure and model assumptions was very poor.,Thực hành chuẩn hoá cấu trúc mô hình và các giả định còn nghèo nàn.
The rate of sequelae is 1.8%.,"Tỷ lệ di chứng là 1,8%."
"Although this method is effective in treating the infections, it leaves a significant psychological impact on the patient.",Phương pháp điều trị thường là phối hợp liệu pháp kháng sinh và tháo vật liệu; tuy đảm bảo hiệu quả điều trị nhiễm trùng nhưng để lại tác động tâm lý đáng kể.
"MELAS syndrome is a mitochondrial genetic disorder that affects many organs and systems of the body, especially the nervous system and muscles.","Hội chứng MELAS là một rối loạn di truyền ty thể có ảnh hưởng đến nhiều cơ quan và hệ thống của cơ thể, đặc biệt là hệ thần kinh và cơ."
The disease is caused by mutations in mitochondrial DNA that alter proteins in the mitochondrial electron transport chain.,"Bệnh do đột biến trong DNA ty thể, làm thay đổi protein trong chuỗi truyền điện tử thuộc ty thể."
PCR-RFLP and Sanger sequencing were performed to identify common mutations.,Kỹ thuật PCR - RFLP và giải trình tự Sanger được thực hiện để xác định các đột biến thường gặp.
Method: Retrospective and prospective case series.,Phương pháp nghiên cứu: Nghiên cứu hồi cứu và tiến cứu mô tả hàng loạt ca.
Data are retrospective secondary data from medical records.,Số liệu được hồi cứu số liệu thứ cấp từ bệnh án.
The homogeneity of the filling material by compaction is high 93.3%.,"Tính đồng nhất của vật liệu trám bằng phương pháp lèn cao 93,3%."
Conclusion: Working with epidemic prevention clothing is harmful effects on health.,Kết luận: Mặc quần áo phòng dịch khi làm việc ảnh hưởng bất lợi tới sức khoẻ.
"The research questionnaire included the Mini Mental State Examination (MMSE), Mini Nutrition Assessment (MNA), and anthropometric indicators.","Bộ câu hỏi nghiên cứu bao gồm Thang đánh giá trạng thái tâm thần tối thiểu (Mini Mental State Examination-MMSE), Thang đánh giá dinh dưỡng giản lược (Mini Nutrition Assessment-MNA), và các chỉ tiêu nhân trắc học."
"MMSE score and MNA score had a positive correlation with the correlated coefficient of r. =0, 3 (p-value<0, 05).","Điểm MMSE và điểm MNA có mối tương quan thuận với hệ số tương quan r. = 0,3 (p < 0,05)."
"Results and conclusions: The majority of students (83.2%) have a good awareness of the nursing profession, with an average score of 158.84 ± 21.07.","Kết quả và kết luận: Đa số sinh viên (83,2%) có nhận thức tốt về nghề điều dưỡng, với điểm trung bình là 158,84 ± 21,07."
Results: The highest rate of indication was multi-organ dysfunction syndrome (31.2%).,"Kết quả: Chỉ định lọc máu liên tục chiếm tỷ lệ cao nhất là rối loạn chức năng đa cơ quan (31,2%)."
Membrane clotting was the most common complication (49.3%).,"Đông màng là biến chứng thường gặp nhất (49,3%)."
Most SFT are benign but can also present as malignancy.,Phần lớn SFT là lành tính song cũng có thể hiện ác tính.
Conclusion: Nonoperative treatment has yielded positive results.,Kết luận: Điều trị nội khoa mang lại kết quả tốt.
Traffic accident was seen in most patients.,Tai nạn giao thông là nguyên nhân chính (81.37%).
The genotyping of this polymorphism was performed by polymerase chain reaction and restriction fragment length polymorphism (PCR-RFLP) method.,Kiểu gen được xác định bằng phương pháp đa hình chiều dài đoạn cắt giới hạn (RFLP).
"Keywords: Disorders of serum sodium and postassium, chronic wound, exudate.","Từ khoá: Rối loạn natri và kali huyết thanh, vết thương mạn tính, dịch tiết."
The main accompanying endoscopic lesions are GERD and gastritis.,Các tổn thương nội soi kèm theo chủ yếu là GERD và viêm dạ dày.
Conclusion: Hypertension after kidney transplant surgery was popular.,Kết luận: Tăng huyết áp là hiện tượng phổ biến sau ghép thận.
"Subject and method: All type 2 diabetes patients come to the clinic for the first time in Outpatient Department of Senior Officers from August 2018 to July 2019, descriptive, cross-sectional research method.","Đối tượng và phương pháp: Tất cả bệnh nhân đái tháo đường type 2 đến khám lần đầu tại Khoa C 1.2 thời gian từ tháng 8/2018 đến tháng 7/2019, phương pháp nghiên cứu mô tả, cắt ngang."
"Keywords: Sepsis, microRNA 146 - 3p, microRNA 147b, microRNA-155, microRNA 223.","Từ khoá: Nhiễm khuẩn huyết, microRNA 146-3 p, microRNA 147b, microRNA-155, microRNA 223."
"Among the components of patient safety, the teamwork was the most positive (94.3%) with an average score was 4.2, the human resources was the lowest positive (60.1%) average score was 3.6.","Trong các thành phần liên quan đến ATNB: Làm việc theo đội nhóm được đánh giá là tích cực nhất (94,3%) với điểm trung bình 4,2; nhân sự là thành phần được đánh giá thấp nhất (60,1%) với điểm trung bình 3,6."
"Keywords: Patient safety, 108 Military Central Hospital.","Từ khoá: An toàn người bệnh, Bệnh viện Trung ương Quân đội 108."
Statistical analysis was used to compare outcomes and determine contributing factors.,Phân tích thống kê so sánh kết quả và đánh giá các yếu tố liên quan.
Background: Minimally invasive cardiac surgery has been worldwidely and powerfully developed in both quantity and quality.,"Đặt vấn đề: Phẫu thuật tim ít xâm lấn (IXL) đã có những bước phát triển mạnh mẽ, tăng cao về số lượng cũng như chất lượng."
"From December 2013 to February 2019, 12 lower cervical tuberculosis (8 male; 4 female; average age 39.5 ± 17.3 years) who underwent surgical treatment at Neurosurgery Department of 108 Military Central Hospital.","Từ tháng 12/2013 đến tháng 02/2019, 12 bệnh nhân lao cột sống cổ thấp (8 nam; 4 nữ; tuổi trung bình 39,5 ± 17,3 tuổi) được phẫu thuật tại Khoa Ngoại Thần kinh, Bệnh viện Trung ương Quân đội 108."
"Neurologic function of all the patients was evaluated by VAS, JOA score and ASIA grade.","Tình trạng thần kinh của tất cả các bệnh nhân được đánh giá bằng thang điểm VAS, JOA và ASIA."
"Keywords: Tooth movements, clear aligners, systematic review, orthodontics.","Từ khoá: Dịch chuyển răng, máng chỉnh nha trong suốt, tổng quan hệ thống, chỉnh nha."
"Sample sizes ranged from 16 to 75, with a total of 477 patients.","Cỡ mẫu dao động từ 16 đến 75, với tổng số 477 bệnh nhân."
Group 1: Oral administration (OA) with water 2ml / kg / day.,Lô 1: Uống nước lọc 2 ml / kg / ngày.
The most recent way to handle risks.,Cách xử lý rủi ro gần đây nhất.
Histopathology of penile cancer is squamous cancer (100%).,"Mô bệnh học của ung thư dương vật là ung thư biểu mô vảy chiếm 100%, độ mô học thấp (G 1,2) chiếm tỷ lệ cao 84%, độ mô học cao (G3, 4) chiếm tỷ lệ thấp 16%."
"Keywords: Hypertension, Diastolic function, pulsed-wave tissue Doppler echocardiography","Từ khoá: tăng huyết áp, chức năng tâm trương, siêu âm Doppler xung mô cơ tim"
"Cross section, descriptive study.","Nghiên cứu cắt ngang, mô tả."
Scars after surgery always should be considered.,Sẹo sau phẫu thuật luôn là yếu tố cần được xem xét.
"Keywords: Chronic venous insufficiency, Varicose veins, Pulse Doppler ultrasound.",Từ khoá: Suy tĩnh mạch mạn tính chi dưới; Giãn tĩnh mạch; Siêu âm Doppler mạch.
"Result: Female (81, 4%), the averangeage 40 - 60 (64, 3%).","Kết quả: Nữ giới (81,4%), tuổi thường gặp 40 – 60 tuổi (64,3%)."
"Keywords: Systemic sclerosis (Scleroderma), Methotrexate","Từ khoá: Bệnh xơ cứng bì hệ thống, Methotrexate"
The proportion state that establishing nutritional department was essential was 95.2%.,"Tỷ lệ cán bộ y tế cho rằng việc xây dựng khoa dinh dưỡng là cần thiết chiếm 95,2%."
There are not any behaviors or suggestions related to bribery.,"Không có lời nói, cử chỉ gợi ý tiên quà người bệnh."
"Attentive explanation about the administrative procedures, rules, hospital fees, medical insurrance is 88.3%.","Giải thích chu đáo về thủ tục hành chính, nội qui, chế độ viện phí, bảo hiểm y tế 88,3%."
Clear explanation about disease status and treatment method accounts for 83.3%.,"Giải thích rõ ràng về tình hình bệnh tật và hướng điều trị 83,3%."
The results indicated that patients with one disease / illness was the highest proportion (59.2%).,"Kết quả nghiên cứu cho thấy tỷ lệ mắc 1 bệnh / chứng bệnh chiếm tỷ lệ cao nhất (59,2%)."
There were 53.2% of patients that assigned examination testing.,"Có 53,2% người bệnh đến khám được chỉ định làm xét nghiệm cận lâm sàng."
The method is describing prospective.,Công trình được nghiên cứu bằng phương pháp mô tả tiến cứu.
"Keywords: ST elevation myocardial infarction, percutaneous coronary intervention, myocardial perfusion","Từ khoá: nhồi máu cơ tim cấp có ST chênh lên, can thiệp động mạch vành, tưới máu cơ tim."
"Sensitivity 94.3%, specificity 94.1%, positive predictive value 93.6%.","Độ nhạy 94,3%, độ đặc hiệu 94,1%, độ chính xác 93,6%."
The method was validated for the acceptable accuracy and precision with the recovery rate is 99.83%.,"Phương pháp được thẩm định cho độ chính xác và độ đúng thích hợp với tỷ lệ phục hồi của carotenoid từ chế phẩm đạt 99,83%."
Background - Objectives: Glimepiride sulfonamide (impurity B) and glimepiride urethane (impurity C) are impurities of glimepiride which arise from synthesis and during storage of glimepiride.,"Mở đầu – Mục tiêu: Glimepirid sulfonamid (tạp B) và glimepirid urethan (tạp C) là tạp chất liên quan của glimepirid, có nguồn gốc từ quá trình tổng hợp và bảo quản glimepirid."
Background: High blood pressure (THA) is a increasing disease.,Đặt vấn đề: Tăng huyết áp (THA) là một bệnh phổ biến và có xu hướng ngày càng tăng.
Conclusion: Building an intervention program on health education communication to improve knowledge and practical lifestyle changes of patients about treating hypertension.,"Kết luận: Xây dựng một chương trình can thiệp về truyền thông giáo dục sức khoẻ nhằm nâng cao kiến thức, thực hành thay đổi lối sống của người bệnh trong điều trị THA."
"Salivary cortisol concentration, anxiety and pain in deviated lower third molar surgery","Nồng độ cortisol nước bọt, mức độ lo lắng và mức độ đau ở bệnh nhân phẫu thuật nhổ răng khôn hàm dưới mọc lệch"
"Background: In oral surgery, lower third molar surgery supposedly makes patient most anxious.","Đặt vấn đề: Trong số các phẫu thuật ở vùng miệng, phẫu thuật nhổ răng khôn hàm dưới được cho là gây lo lắng nhiều nhất đối với bệnh nhân."
The correlation between these two variables was positive (Pearson +).,Mối tương quan giữa 2 biến số này là mối tương quan thuận (hệ số tương quan Pearson +).
"Keywords: salivary cortisol, dental anxiety, pain after surgery, lower third molar surgery","Từ khoá: cortisol nước bọt, lo lắng nha khoa, đau sau phẫu thuật, phẫu thuật nhổ răng khôn hàm dưới"
Mean operating time is 155 minutes.,Thời gian mổ trung bình là 155 phút.
The preliminary results are good with unsignificant accidents and complications.,"Kết quả bước đầu tốt, với các tai biến và biến chứng không đáng kể."
"From October 2002 to January 2003, we performed 19 laparoscopic colectomies.",Từ 10/2002 đến 01/2001 chúng tôi thực hiện 19 trường hợp cắt đại tràng nội soi.
Background: Impaired fasting glucose is the major factor of type 2 diabetes mellitus.,Cơ sở: Rối loạn glucose máu lúc đói (RLGMLĐ) là yếu tố nguy cơ chính của bệnh đái tháo đường týp 2.
Methods: A prospective descriptive cross section with comparisons.,"Phương pháp nghiên cứu: Tiến cứu, mô tả cắt ngang có so sánh."
Results: Mean follow-up was 9 ± 1.7 months.,"Kết quả nghiên cứu: Thời gian theo dõi trung bình là 9 ± 1,7 tháng."
Background: Amphiregulin is a crucial mediated substance that affects directly on the maturation process of the oocyte.,Đặt vấn đề: Amphiregulin (AREG) là chất trung gian quan trọng ảnh hưởng trực tiếp đến quá trình trưởng thành noãn.
2/To improve the paraclinical factors.,2 / Cải thiện các chỉ số cận lâm sàng.
Patient and method of study: Study design: clinical trial with control group (30 patients for each group: study and control group).,Đối tượng và phương pháp nghiên cứu: Thiết kế nghiên cứu = thử nghiệm lâm sàng có đối chứng n= 30 bệnh nhân X 2 lô (lô nghiên cứu-lô chứng).
Health facilities can treat 3/4 situations.,Y tế cơ sở trị được 3/4 trường hợp.
For samples that tooing patients choose to visit during business hours.,Đối tượng chọn mẫu là các bệnh nhân đến khám trong giờ.
"Every day, each doctor visits 50 patient; staff working extra hours 2 - 3.",Mỗi ngày mỗi bác sĩ khám 50 bệnh nhân; nhân viên làm thêm 2-3 tiếng.
Patient visits in the morning 70.0%.,"Bệnh nhân khám vào buổi sáng chiếm 70,0%."
The time required for canal preparation was recorded for each specimen.,Thời gian sửa soạn ghi nhận bằng đồng hồ bấm giây.
"Background: Pancreatitis is a common disease, can recur many times and become cronic pancreatitis or arcute pancreatits on the cronic background.","Đặt vấn đề: Viêm tuỵ là bệnh thường gặp, có thể tái phát nhiều lần và trở thành viêm tuỵ mạn hoặc viêm tuỵ cấp trên nền mạn."
The level of brain injury of patents when this resolution had done.,Mức độ nghiêm trọng của chấn thương sọ não sau Nghị định.
"Learn a number of factors related to the knowledge, attitude and use of emergency 115 people in Ho Chi Minh City before and after the intervention.","Tìm hiểu một số yếu tố liên quan đến sự hiểu biết, thái độ và sử dụng cấp cứu 115 của người dân thành phố Hồ Chí Minh trước và sau khi can thiệp."
Endoscope pneumatic dilation for treatment of esophageal achalasia,Đánh giá kết quả điều trị bệnh co thắt tâm vị bằng phương pháp nong bóng hơi nội soi
Results: Male and female rates were 15/18.,"Kết quả: 33 bệnh nhân, 15 nam 18 nữ được nong bóng tại bệnh viện Bình Dân."
In total 38 times performed procedure use Rigiflex balloon dilation (1.1 time/1 patient).,"Tổng số là 38 lần nong (1,1 lần / bệnh nhân)."
Endocrine and Mumps were associated with sperm quality.,Nội tiết và quai bị có liên quan đến tinh dịch đồ.
Conclusion: The effectiveness of activities communal health and microscopic points still has some limitations.,Kết luận: Hiệu quả hoạt động của y tế xã và điểm kính hiển vi còn hạn chế.
