en,vi
* New contributions of the thesis This is the fulfill study in Vietnam on the application of Glissonean pedicle approach using Takasaki technique in hepatectomy for HCC.,* Đóng góp mới của luận án Là công trình nghiên cứu đầy đủ nhất tại Việt Nam về ứng dụng kỹ thuật kiểm soát cuống Glisson theo Takasaki trong cắt gan điều trị ung thư biểu mô tế bào gan.
Treating the etiology is important in secondary TR.,Điều trị căn nguyên có vai trò quan trọng trong TR thứ cấp.
Those with STEMI should be admitted to a CCU.,Những người bị nhồi máu cơ tim ST chênh phải được nhận vào CCU.
Prof Nguyen Tran Thi Giang Huong Training Facility: Ha noi Medical University Summary of new finding of the thesis 1.,Nguyễn Trần Thị Giáng Hương Cơ sở đào tạo: Trường Đại học Y Hà nội Những kết luận mới của luận án: 1.
Nguyen Thu Training facility: Ha Noi Medical University New findings of the thesis: Using solution 0.1% bupivacaine with fentanyl 2µg / ml for pain relief during labor.,"Nguyễn Thụ Cơ sở đào tạo: Trường Đại Học Y Hà Nội Những kết luận mới của luận án: Với dung dịch thuốc tê bupivacain 0,1% phối hợp với fentanyl 2 µg / ml để giảm đau trong chuyển dạ."
"Especially, by using a longitudinal design that combined between epidemiology and health economics approaches, using data analysis methods intention-to-treatment, employing Generalized Estimation Equations (GEE) regression models, the thesis provides updated scientific evidence with high validity and reliability about the associations between illness, health care utilization and financial burden due to health care expenditure and some socio-economic factors among people living in two urban areas.","Đặc biệt, bằng thiết kế nghiên cứu theo dõi dọc kết hợp giữa dịch tễ học và kinh tế y tế, có sử dụng phương pháp phân tích số liệu intention-to-treatment (ITT-phân tích theo phân bố ngẫu nhiên ban đầu) và mô hình hồi quy (GEE) đa biến lặp lại, luận án đã cung cấp những bằng chứng khoa học mới, rất có giá trị và có độ tin cậy cao về mối liên quan giữa thực trạng ốm đau, sử dụng và gánh nặng chi tiêu cho DVKCB của người dân 2 khu vực đô thị với một số yếu tố kinh tế, văn hoá, xã hội."
The dissertation provided evidence that people living in areas with poor living conditions did not have a higher morbidity rate but had lower rates of access to health services than those living in the area has guaranteed living conditions.,Luận án đã cung cấp bằng chứng: người dân sống ở khu vực có điều kiện sinh hoạt không đảm bảo có tỷ lệ ốm đau cao hơn song lại có tỷ lệ sử dụng dịch vụ khám chữa bệnh thấp hơn so với người dân sống ở khu vực có điều kiện sinh hoạt đảm bảo.
"The thesis provides valuable scientific evidence that supports policy makers and managers to develop policies and interventions in order to improving health status; leading to the equity / equality in health care service access and utilization; and minimizing health care expenditure and financial burden due to health care of urban population in Vietnam, especially in urban areas with poor living conditions.","Luận án cung cấp các bằng chứng khoa học rất có giá trị hỗ trợ các nhà hoạch định chính sách và các nhà quản lý có thể xây dựng được các chính sách và can thiệp nhằm cải thiện tình trạng sức khoẻ, hướng tới bình đẳng / công bằng trong tiếp cận và sử dụng các DVKCB, giảm thiểu chi tiêu và gánh nặng chi tiêu cho KCB của người dân đô thị tại Việt Nam, đặc biệt là khu vực đô thị có điều kiện sinh hoạt không đảm bảo."
"The thesis can be considered an example of the application of longitudinal design, which is an advanced study design, to inform highly accurate and reliable study results.","Luận án có thể được coi là một ví dụ về việc áp dụng phương pháp nghiên cứu theo dõi dọc, một loại hình thiết kế nghiên cứu nâng cao, có thể đưa ra các kết quả nghiên cứu chính xác và có độ tin cậy cao."
New contributions of thesis: 1.,Những đóng góp mới của luận án: 1.
Title of the thesis: Study on clinical and paraclinical characteristics and some risk factors for acute pulmonary embolism in patients with chronic obstructive pulmonary disease exacerbations.,"Tên đề tài: Nghiên cứu đặc điểm lâm sàng, cận lâm sàng và một số yếu tố nguy cơ tắc động mạch phổi cấp ở bệnh nhân đợt cấp bệnh phổi tắc nghẽn mạn tính."
"Prof Chu Thi Hanh, Ph D.Training facility: Hanoi Medical University New conclusions of the thesis: Clinical and paraclinical characteristics of acute pulmonary embolism (PE) in patients with chronic obstructive pulmonary disease (COPD) exacerbation with D-dimer level ≥ 1 mg / l FEU: (1) Clinical: Age, gender: common met patients > 60 years old and male common met more than women.","Chu Thị Hạnh Cơ sở đào tạo: Trường Đại học Y Hà Nội Những kết luận mới của luận án: Đặc điểm lâm sàng, cận lâm sàng tắc động mạch phổi (TĐMP) cấp ở bệnh nhân đợt cấp bệnh phổi tắc nghẽn mạn tính (COPD) có D-dimer ≥ 1 mg / l FEU: (1) Lâm sàng: Tuổi, giới: chủ yếu gặp bệnh nhân > 60 tuổi, nam gặp nhiều hơn nữ."
Title of the thesis: Study on the relationship between anti-nucleosome and anti-C1q antibodies with disease activity and kidney damage in pediatric systemic lupus erythematosus.,Tên đề tài: Nghiên cứu mối liên quan giữa kháng thể kháng Nucleosome và C1q với mức độ hoạt động của bệnh và tổn thương thận trong Lupus ban đỏ hệ thống trẻ em.
"Trần Thị Chi Mai Training location: Ha Noi Medical University New conclusions of the thesis: For the first time, the anti-nucleosome and anti-C1q antibodies were investigated and quantified concentration in the systemic lupus erythematosus in Vietnamese children.",Trần Thị Chi Mai Cơ sở đào tạo: Đại học Y Hà Nội. Những kết luận mới của luận án: Lần đầu tiên nghiên cứu và định lượng được nồng độ kháng thể kháng nucleosome và kháng thể kháng C1q trong Lupus ban đỏ hệ thống ở trẻ em Việt Nam.
"The results of the thesis have shown the following new contributions: - Results of clinical, subclinical and polymorphic characteristics of CYP2C9 * 3, VKORC1 - 1639G>A, 1173C>T in patients with mechanical heart valve replacement.","Kết quả nghiên cứu của luận án đã cho thấy những đóng góp mới như sau: - Đưa ra được kết quả về đặc điểm lâm sàng, cận lâm sàng và tính đa hình gen CYP 2 C 9*3, VKORC 1-1639 G > A, 1173 C > T ở bệnh nhân thay van tim cơ học."
"In addition, the dissertation also raises the factors affecting treatment effectiveness such as disease stage, whole lung V20 Gy, whole lung MILD, number of white blood cells, response time.","Ngoài ra, luận án còn nêu lên được các yếu tố ảnh hưởng đến hiệu quả điều trị như: giai đoạn bệnh, V20 Gy toàn phổi, MILD toàn phổi, số lượng bạch cầu, thời điểm đáp ứng."
"The dissertation has helped the appointment of non-surgical, stage III non-small cell lung cancer in order to increase efficiency, reduce complications, and be valuable for the cancer specialty.","Luận án đã giúp cho việc chỉ định phương pháp điều trị bệnh ung thư phổi không tế bào nhỏ giai đoạn III, không mổ được, nhằm tăng hiệu quả, giảm biến chứng, có giá trị cho chuyên ngành ung thư."
